game,tags,score,picture,introduction
铁拳3 Tekken 3,"格斗, 动作",8.2,https://img3.doubanio.com/lpic/s29884460.jpg,《铁拳3》的故事发生在距第二届铁拳大会闭幕15年后，这时的三岛财阀在三岛平八的领导下，势力扩展到了世界的没一个角落。在美洲的一个原始丛林中，铁拳众部队发现了一个古老的印第安遗迹，不幸的是，一个恐怖的身影从中站了起来——斗神，被派遣到那里的整个铁拳众部队被全灭了！当三岛平八得知这个消息后，为这个未知生命体震惊，但平八更加兴奋——欲得到这强大的力量！不久后全世界一些格斗家相继被袭丧命，风间准为保护年幼的仁，命丧斗神之手！
塞尔达传说：幻影沙漏 ゼルダの伝説 夢幻の砂時計,动作冒险,8.8,https://img3.doubanio.com/lpic/s29438143.jpg,开发 任天堂
火影忍者疾风传：究极忍者风暴3 NARUTO-ナルト- 疾風伝 ナルティメットストーム3,格斗,8.5,https://img3.doubanio.com/lpic/s29946285.jpg,"本作是由高度图像还原了《火影忍者》里出现过的场景，号称融合动画和游戏的团队合作的动作游戏，是《究极忍者风暴》系列中的第三部巨作。在前作《世代》中被取消的大受好评的QTE剧情和BOSS战模式宣布回归。"
合金装备3：食蛇者 Metal Gear Solid 3: Snake Eater,"射击, 动作",9.4,https://img3.doubanio.com/lpic/s9122102.jpg,《潜龙谍影3：食蛇者》（英文：Metal Gear Solid 3:Snake Eater、日文：メタルギアソリッド3：スネークイーター）是日本科乐美公司（KONAMI）在PlayStation 2平台发售的战术类动作游戏。
铁拳 Tekken,"格斗, 动作",7.1,https://img3.doubanio.com/lpic/s27277976.jpg,"Tekken is a fighting game and is the first of the series. It was released at arcades in late 1994 and on the PlayStation in 1995. It was developed and published by Namco. It is succeeded by Tekken 2, which came out in 1995."
战神 God of War,"冒险, 动作",9.4,https://img1.doubanio.com/lpic/s29521388.jpg,"《战神》新作仍旧由圣莫妮卡工作室打造，作为登陆次世代主机的大作，震撼的游戏画面让人惊叹不已，波澜壮阔的神话战争再起烽烟。"
New爱相随 NEWラブプラス,模拟,7.8,https://img3.doubanio.com/lpic/s27307422.jpg,ニンテンドー3DS版。2012年2月14日発売。
塞尔达传说 黄昏公主 ゼルダの伝説 トワイライトプリンセス,动作冒险,9.3,https://img3.doubanio.com/lpic/s28418250.jpg,《塞尔达传说 黄昏公主》（ゼルダの伝说 トワイライトプリンセス、The Legend of Zelda:Twilight Princess）是一款由任天堂EAD制作，任天堂发行的电子游戏，属于《塞尔达传说》系列，本游戏支持GameCube和Wii两种平台。
最终幻想：纷争2 Dissidia 012: Final Fantasy,"格斗, 角色扮演, 动作",8,https://img1.doubanio.com/lpic/s28268909.jpg,"最终幻想 纷争2（Dissidia 012: Duodecim Final Fantasy）是Square Enix于2011年推出的《最终幻想》系列作品之一，应列属于外传类型，对应主机为PSP。是最终幻想 纷争的续作。"
合金装备2：自由之子 Metal Gear Solid 2: Sons of Liberty,动作冒险,9.1,https://img3.doubanio.com/lpic/s24940256.jpg,"《合金装备》历来给人的感觉是电影与游戏的结合体。《合金装备2：自由之子》就被充分体现了这一点。"
战神3 God of War III,动作,9.2,https://img1.doubanio.com/lpic/s28584017.jpg,God of War III is an action-adventure video game released by Sony Computer Entertainment's Santa Monica division for the PlayStation 3 in March 2010.It is the seventh and final chapter in the God of War series.
任天猫狗：柴犬与新朋友 nintendogs + cats 柴 & Newフレンズ,模拟,7.8,https://img1.doubanio.com/lpic/s27202577.jpg,"2005年初，NDS发售刚刚几个月。任天堂低调的拿出了一款彻底颠覆世人对电子宠物和养成游戏印象的游戏，这就是日后被《FAMI通》评为满分神作的《任天狗》。本作充分调动发挥了NDS的各项机能，触摸屏用来抚摸狗狗，和狗狗一起游戏，以及一些操作。麦克风可以直接对狗狗下达各种命令，当然前提是已经通过麦克风训练好。内置时钟则用来同步真实时间，一旦主人长久不管狗狗，狗狗就跟现实现实生活中一样也会饿，也会渴，毛也会变脏。当然还有联机通信功能。"
生化危机4 Resident Evil 4,"射击, 动作冒险",9.1,https://img3.doubanio.com/lpic/s29341753.jpg,《生化危机4》（日语版名称：バイオハザード4，Biohazard 4；英文译名：Resident Evil 4）是2005年由CAPCOM第四开发部（Capcom Production Studio 4）开发，并由CAPCOM公司发行的GameCube电视游戏，其后被移值至PlayStation 2、Wii及PC上。4代也是第一款支持Dolby Digital Pro-Logic 2 Surrround环绕音效的系列作。人气人物Leon Scott Kennedy担任主角！
勇者斗恶龙 元气史莱姆3：大海贼与尾巴团 スライムもりもりドラゴンクエスト３　大海賊としっぽ団,"冒险, 动作",7.2,https://img3.doubanio.com/lpic/s28054732.jpg,史莱姆的大海冒险物语，爱与友情的传说，噗。
勇气默示录 完全版 ブレイブリーデフォルト フォーザ・シークウェル,角色扮演,8.5,https://img1.doubanio.com/lpic/s27245867.jpg,"《勇气默示录》（日版名：ブレイブリーデフォルト フライングフェアリー，Bravely Default Flying Fairy，英文版名：Bravely Default）是史克威尔艾尼克斯于2012年10月11日发行的任天堂3DS用电子角色扮演游戏[1]。"
最终幻想7 Final Fantasy VII,角色扮演,9.2,https://img1.doubanio.com/lpic/s28468547.jpg,PS《最终幻想》第一弹，游戏史上的里程碑之作
铁拳2 鉄拳2,格斗,7.6,https://img3.doubanio.com/lpic/s28096771.jpg,デフォルト状態で使用できるプレイヤーキャラクターは、新キャラクター「風間準」と「レイ・ウーロン」の2名を加えた10名。そして、一八の代わりに平八がデフォルトキャラクターに入った。この交代劇によって「主人公が54歳」という格闘ゲームでは例が無かったものになった。また、本作から稼働時間の経過とともに中ボスキャラクターやボスキャラクターとして登場するキャラクターが使用可能となる「タイムリリースシステム」が正式に採用。額からビームを出す「デビル」やその対となる「エンジェル」、ボクシンググローブをはめたカンガルー「ロジャー」など、前作よりも色モノキャラクターが増え、総勢23（2Pキャラを含めると25）キャラクターになった。アーケード版ではバランスを調整したVer.Bが後に稼働。
古墓丽影 Tomb Raider,"射击, 冒险, 动作",9.1,https://img3.doubanio.com/lpic/s25805601.jpg,《古墓丽影》新作将讲述劳拉的首次冒险之旅，主角劳拉·克劳馥的年龄被设定在21岁，那时的她还只是一名刚出茅庐的新人，经验欠缺。随着游戏剧情的发展，玩家将与劳拉共同成长，获得新的武器和道具并习得新技能。在冒险的小岛上，玩家可以在营地对道具进行组合，有些特定区域就需要特定道具和技能才能通过。岛上的各个营地之间可以快捷传送，玩家无需长途跋涉。而除了劳拉外还将有其他角色出现在岛上。此外游戏还有饥饿度的设计，玩家要不停搜寻补充人体生存必须的水和食物。
最后的故事 The Last Story,角色扮演,7,https://img1.doubanio.com/lpic/s29329998.jpg,《最后的故事》是由《最终幻想》之父坂口博信的MISTWALKER公司开发的RPG新作。本作的主人公艾尔萨（エルザ）是一名双亲过世的孤儿，也是一名不断战斗的佣兵，在荒废的大地上与威胁人类性命的魔物作战，生死一线之间。并且还背负着家乡被战火烧毁，身边的一切被掠夺乃至失去亲人的痛苦，所以“力量”成了保护所爱的人最重要的东西，成为主角命运之路上的巨大路标。为了获得力量，满载野心充满矛盾曲折的故事就此展开了。在前进的道路上充满着“悲伤”和“孤独”，但越是坚忍，最终得到的力量也越强大，但是如果这股力量被滥用的话……
女生风格：欲望宣言 わがままファッション GIRLS MODE よくばり宣言!,模拟,7.7,https://img3.doubanio.com/lpic/s27245886.jpg,"【約12000点の新作アイテムでみんなをステキにコーディネート】 "
合金装备V：原爆点 Metal Gear Solid V: Ground Zeroes,"射击, 冒险, 动作",8.5,https://img1.doubanio.com/lpic/s29509827.jpg,《合金装备5：原爆点》是《合金装备5：幻痛》的序章作品，描述5代整个故事的开端发展，二者共同组成完整的《合金装备5》。
超级马里奥3D世界 スーパーマリオ 3Dワールド,动作,9.5,https://img3.doubanio.com/lpic/s29600826.jpg,任天堂预定将于11月21日推出《超级马里奥（Super Mario）》系列最新作——Wii U《超级马里奥3D世界（Super Mario 3D World）》。游戏还将新增一种猫主题的服装，穿上后可以爬墙和抓人。此外，游戏还有《新超级马里奥兄弟》系列中的四人合作多人模式，参战角色有马里奥、路易吉、桃子公主和陶德。
